TreatState,Post,LowWage,mean,size
0,0,0,0.26738794435857804,1941
0,0,1,0.22992125984251968,635
0,1,0,0.35432098765432096,810
0,1,1,0.21031746031746032,252
1,0,0,0.2541176470588235,1275
1,0,1,0.21227621483375958,391
1,1,0,0.35807860262008734,458
1,1,1,0.2742857142857143,175
