TreatState,Post,LowWage,mean,size
0,0,0,0.2351427234440805,4274
0,0,1,0.2249736564805058,1898
0,1,0,0.28200253485424587,1578
0,1,1,0.22445820433436534,646
1,0,0,0.2745438748913988,2302
1,0,1,0.26171428571428573,875
1,1,0,0.3761467889908257,763
1,1,1,0.2535211267605634,284
