year,sample,treatment_mode,employment_mode,control_spec,bundle,subgroup,obs,coef,stderr,pval
2021,all_ages,june_only,any_employed,covid_stringency,analysis_diagnostics,other_wage,8917,0.059120267936196805,0.018820372281274478,0.001682047562123405
2021,all_ages,june_only,any_employed,covid_stringency,analysis_diagnostics,low_wage,3703,-0.036818401620914966,0.03066001093156285,0.2298052483670051
