TreatState,Post,LowWage,mean,size
0,0,0,0.2073587385019711,3805
0,0,1,0.19801401869158877,1712
0,1,0,0.25521557719054244,1438
0,1,1,0.2048611111111111,576
1,0,0,0.2435943702634428,2771
1,0,1,0.2563619227144204,1061
1,1,0,0.33665559246954596,903
1,1,1,0.24858757062146894,354
